"FoG_taxon_uid","lower","upper"
"2645",0,2100
"2646",0,900
"2647",600,1500
"2648",0,2400
"2649",300,600
"265",0,300
"2650",1200,1500
"2651",0,1200
"2652",0,1200
"2653",0,300
"2654",0,2400
"2655",600,900
"2656",0,2100
"2657",0,2400
"2658",300,1500
"2659",0,900
"266",600,900
"2660",0,300
"2661",300,600
"2662",0,2700
"2663",900,2100
"2665",900,1200
"2666",300,2100
"2667",0,2100
"2669",0,1500
"2670",600,2100
"2671",600,2100
"2672",0,300
"2673",0,1200
"2674",300,900
"2677",600,900
"2678",0,900
"2679",0,300
"268",0,600
"2680",0,2400
"2681",0,600
"2682",0,1800
"2683",300,2100
"2684",0,2100
"2685",0,1800
"2686",0,1500
"2687",0,600
"2688",0,600
"269",0,2100
"2692",0,2100
"2696",2400,3000
"2697",600,900
"2698",0,900
"2699",0,300
"27",900,2700
"270",0,2100
"2700",0,1200
"2701",-9000,-8700
"2702",0,1500
"2703",0,2400
